- Abanades;40.8853749994522,-2.4723773393
- Ablanque;40.8960649852624,-2.2149228555
- Adobes;40.6724615186633,-1.6674436986
- Alaminos;40.8806013070762,-2.7219916667
- Alarilla;40.8494343104529,-3.1053955850
- Albalate-de-Zorita;40.2932843330535,-2.8474162153
- Albares;40.3139943794249,-3.0381748154
- Albendiego;41.2259728282447,-3.0526957962
- Alcocer;40.4565892385149,-2.5809040649
- Alcolea-de-las-Penas;41.2140825299053,-2.7806914030
- Alcolea-del-Pinar;40.9895479102093,-2.4812725571
- Alcoroches;40.6282792602707,-1.7514173368
- Aldeanueva-de-Guadalajara;40.6908607618913,-3.0528272105
- Algar-de-Mesa;41.1452152171988,-1.9535029743
- Algora;40.9483080532652,-2.6733312998
- Alhondiga;40.515891442979,-2.83218216548
- Alique;40.5902735811868,-2.6501861721
- Almadrones;40.8986505027764,-2.7608539218
- Almoguera;40.2661734059963,-3.0445054140
- Almonacid-de-Zorita;40.3105095012192,-2.8377073240
- Alocen;40.5709614145985,-2.7313795256
- Alovera;40.5905213211357,-3.2466893448
- Alustante;40.6135770497007,-1.6396445861
- Angon;41.0712595113028,-2.8619453663
- Anguita;40.9940715205662,-2.3552958114
- Anquela-del-Ducado;40.9651239676913,-2.1426540121
- Anquela-del-Pedregal;40.7279909036092,-1.7410438186
- Aranzueque;40.4888671733444,-3.0794755862
- Arbancon;40.9839637496782,-3.1535632981
- Arbeteta;40.6829222143852,-2.4006669123
- Argecilla;40.8923792906315,-2.8153343071
- Armallones;40.7435624965135,-2.3390585116
- Armuna-de-Tajuna;40.5233747750158,-3.0292012518
- Arroyo-de-las-Fraguas;41.0657590846046,-3.1327147813
- Atanzon;40.6595266899555,-3.0102766289
- Atienza;41.1922576334045,-2.8749224215
- Aunon;40.5054852541453,-2.7789933418
- Azuqueca-de-Henares;40.5571635308765,-3.2552766484
- Baides;41.0030671071513,-2.7690635213
- Banos-de-Tajo;40.7130352524086,-2.0128277402
- Banuelos;41.2969010539792,-2.9166211161
- Barriopedro;40.7880867786149,-2.7581368930
- Berninches;40.5694785369802,-2.8122681566
- Bodera-La;41.1212270788311,-2.8900440071
- Brihuega;40.7441043380535,-2.8357040714
- Budia;40.6768555339567,-2.7547549609
- Bujalaro;40.9370319110882,-2.8775253811
- Bustares;41.1357162084071,-3.0845885768
- Cabanillas-del-Campo;40.6374378843275,-3.2480214950
- Campillo-de-Duenas;40.8581293999729,-1.6723386222
- Campillo-de-Ranas;41.0646271491205,-3.3225050073
- Campisabalos;41.2607456183488,-3.1472427646
- Canizar;40.7779348755563,-3.0710238403
- Canredondo;40.8081904881273,-2.5177132849
- Cantalojas;41.2346291873756,-3.2910599428
- Cardoso-de-la-Sierra-El;41.1239111775659,-3.4171933471
- Casa-de-Uceda;40.8518800780543,-3.3694702161
- Casar-El;40.7341828821663,-3.4177693879
- Casas-de-San-Galindo;40.8804370898037,-2.9712483981
- Caspuenas;40.7008631189545,-2.9728822838
- Castejon-de-Henares;40.9307187231908,-2.7904140447
- Castellar-de-la-Muela;40.830806004039,-1.74580990192
- Castilforte;40.560051518798,-2.43054575600
- Castilnuevo;40.8031628064765,-1.8662058202
- Cendejas-de-Enmedio;40.9895412122402,-2.8725255424
- Cendejas-de-la-Torre;40.9793845317058,-2.8377020265
- Centenera;40.6534981643655,-3.0598339583
- Checa;40.4908133197047,-1.8241339207
- Chequilla;40.6092046607294,-1.8371083680
- Chillaron-del-Rey;40.5932978891037,-2.7015993631
- Chiloeches;40.5679053307654,-3.1939005713
- Cifuentes;40.7449430035814,-2.5891488828
- Cincovillas;41.1954428831466,-2.8180655139
- Ciruelas;40.7520167645595,-3.1006335267
- Ciruelos-del-Pinar;41.0063941806346,-2.2152437210
- Cobeta;40.8806911067266,-2.1366885954
- Cogollor;40.8450623299639,-2.7374769518
- Cogolludo;40.9372130247624,-3.1152733460
- Condemios-de-Abajo;41.2114642794131,-3.1025238136
- Condemios-de-Arriba;41.1874550848468,-3.1007715772
- Congostrina;41.0476248464422,-2.9736173538
- Copernal;40.8738151003037,-3.0503852547
- Corduente;40.8292957083316,-2.0272637957
- Cubillo-de-Uceda-El;40.8117926018908,-3.4088491317
